timestamp,coin,headline,source
2024-01-02T00:07:00,BTC,"Bitcoin price consolidates near $40,000 support level",CryptoNews
2024-01-02T01:58:00,ETH,Bitcoin breaks all-time high as institutional demand surges,Reuters
2024-01-02T03:32:00,BTC,"Bitcoin price consolidates near $40,000 support level",Reuters
2024-01-02T04:51:00,BTC,"Bitcoin price consolidates near $40,000 support level",Bloomberg
2024-01-02T05:42:00,BTC,"Bitcoin price consolidates near $40,000 support level",CryptoNews
2024-01-02T07:21:00,BTC,FTX collapse triggers industry-wide contagion fears,CryptoNews
2024-01-02T08:28:00,BTC,Major exchange files for bankruptcy amid liquidity crisis,Bloomberg
2024-01-02T09:23:00,BTC,SEC sues largest crypto exchange for securities violations,Bloomberg
2024-01-02T10:19:00,ETH,Ethereum smart contract volume reaches new milestone,CryptoNews
2024-01-02T10:50:00,ETH,"Bitcoin price consolidates near $40,000 support level",CoinDesk
2024-01-02T11:05:00,ETH,Regulators freeze crypto assets at top-5 exchange,CoinDesk
2024-01-02T12:13:00,BTC,Major exchange files for bankruptcy amid liquidity crisis,Reuters
2024-01-02T14:00:00,ETH,"Bitcoin whale sells 50,000 BTC in single transaction",CryptoNews
2024-01-02T14:12:00,BTC,Regulators freeze crypto assets at top-5 exchange,CryptoNews
2024-01-02T15:55:00,BTC,Bitcoin breaks all-time high as institutional demand surges,CryptoNews
2024-01-02T17:35:00,BTC,"ETH 2.0 staking rewards hit record levels, attracting billions",Reuters
2024-01-02T18:11:00,BTC,Ethereum smart contract volume reaches new milestone,CoinDesk
2024-01-02T19:28:00,ETH,"ETH 2.0 staking rewards hit record levels, attracting billions",CoinDesk
2024-01-02T19:52:00,BTC,Major exchange files for bankruptcy amid liquidity crisis,CryptoNews
2024-01-02T21:24:00,ETH,SEC sues largest crypto exchange for securities violations,CryptoNews
2024-01-02T22:49:00,BTC,FTX collapse triggers industry-wide contagion fears,Bloomberg
2024-01-02T23:34:00,ETH,Major exchange files for bankruptcy amid liquidity crisis,CryptoNews
2024-01-02T23:46:00,BTC,Ethereum developers announce next testnet upgrade date,CryptoNews
2024-01-03T01:42:00,BTC,Regulators freeze crypto assets at top-5 exchange,Reuters
2024-01-03T02:38:00,ETH,Major bank announces crypto custody services for Bitcoin,CoinDesk
2024-01-03T04:25:00,ETH,"Bitcoin price consolidates near $40,000 support level",Bloomberg
2024-01-03T05:47:00,BTC,"Ethereum network suffers major exploit, $500M drained",Bloomberg
2024-01-03T07:21:00,ETH,FTX collapse triggers industry-wide contagion fears,CryptoNews
2024-01-03T08:53:00,BTC,Regulators freeze crypto assets at top-5 exchange,Reuters
2024-01-03T09:20:00,ETH,Regulators freeze crypto assets at top-5 exchange,CryptoNews
2024-01-03T10:06:00,ETH,Major bank announces crypto custody services for Bitcoin,Reuters
2024-01-03T11:04:00,BTC,Regulators freeze crypto assets at top-5 exchange,CryptoNews
2024-01-03T12:06:00,ETH,"Bitcoin price consolidates near $40,000 support level",Bloomberg
2024-01-03T12:16:00,BTC,PayPal expands crypto payment options globally,Bloomberg
2024-01-03T13:23:00,BTC,"Ethereum network suffers major exploit, $500M drained",Reuters
2024-01-03T13:45:00,BTC,Bitcoin breaks all-time high as institutional demand surges,CryptoNews
2024-01-03T15:15:00,BTC,"Bitcoin mining difficulty drops 10%, network becomes more profitable",CryptoNews
2024-01-03T16:38:00,ETH,Major exchange files for bankruptcy amid liquidity crisis,CoinDesk
2024-01-03T18:29:00,BTC,DeFi protocols report normal activity levels this week,CryptoNews
2024-01-03T19:59:00,BTC,"MicroStrategy adds another 10,000 BTC to treasury reserves",Reuters
2024-01-03T20:46:00,ETH,Ethereum smart contract volume reaches new milestone,CoinDesk
2024-01-03T22:42:00,BTC,China bans all cryptocurrency transactions and mining,Reuters
2024-01-03T23:34:00,ETH,DeFi protocols report normal activity levels this week,Bloomberg
2024-01-04T00:16:00,BTC,Ethereum developers announce next testnet upgrade date,CoinDesk
2024-01-04T02:05:00,ETH,Bitcoin breaks all-time high as institutional demand surges,CryptoNews
2024-01-04T02:52:00,ETH,"MicroStrategy adds another 10,000 BTC to treasury reserves",Bloomberg
2024-01-04T03:05:00,ETH,Ethereum developers announce next testnet upgrade date,CryptoNews
2024-01-04T04:03:00,BTC,Major bank announces crypto custody services for Bitcoin,CoinDesk
2024-01-04T05:39:00,BTC,Ethereum developers announce next testnet upgrade date,Bloomberg
2024-01-04T06:05:00,ETH,Ethereum smart contract volume reaches new milestone,Bloomberg
2024-01-04T07:03:00,BTC,Bitcoin hash rate steady as miners await next difficulty adjustment,CoinDesk
2024-01-04T07:22:00,ETH,PayPal expands crypto payment options globally,CryptoNews
2024-01-04T08:45:00,BTC,Major exchange files for bankruptcy amid liquidity crisis,CoinDesk
2024-01-04T09:44:00,ETH,FTX collapse triggers industry-wide contagion fears,Bloomberg
2024-01-04T10:26:00,ETH,"ETH 2.0 staking rewards hit record levels, attracting billions",Bloomberg
2024-01-04T10:57:00,BTC,Regulators freeze crypto assets at top-5 exchange,Bloomberg
2024-01-04T12:06:00,BTC,"Bitcoin whale sells 50,000 BTC in single transaction",Reuters
2024-01-04T13:28:00,ETH,"Bitcoin price consolidates near $40,000 support level",Reuters
